"id_delito","tipo","uso_arma","barrio"
"43226","Robo","NO","PALERMO"
"43229","Robo","NO","PALERMO"
"43233","Robo","NO","PALERMO"
"43237","Robo","NO","PALERMO"
"43239","Robo","NO","PALERMO"
"43240","Robo","NO","PALERMO"
"43241","Robo","NO","PALERMO"
"43245","Robo","NO","PALERMO"
"43247","Robo","NO","PALERMO"
"43251","Robo","NO","PALERMO"
"43257","Robo","NO","PALERMO"
"43258","Robo","NO","PALERMO"
"43262","Robo","NO","PALERMO"
"43263","Robo","NO","PALERMO"
"43265","Robo","NO","PALERMO"
"43266","Robo","NO","PALERMO"
"43267","Robo","NO","PALERMO"
"43269","Robo","NO","PALERMO"
"43271","Robo","NO","PALERMO"
"43272","Robo","NO","PALERMO"
"43273","Robo","NO","PALERMO"
"43274","Robo","NO","PALERMO"
"43277","Robo","NO","PALERMO"
"43279","Robo","NO","PALERMO"
"43283","Robo","NO","PALERMO"
"43286","Robo","NO","PALERMO"
"43287","Robo","NO","PALERMO"
"43290","Robo","NO","PALERMO"
"43291","Robo","NO","PALERMO"
"43292","Robo","NO","PALERMO"
"43294","Robo","NO","PALERMO"
"43295","Robo","NO","PALERMO"
"43298","Robo","NO","PALERMO"
"43300","Robo","NO","PALERMO"
"43302","Robo","NO","PALERMO"
"43303","Robo","NO","PALERMO"
"43304","Robo","NO","PALERMO"
"43306","Robo","NO","PALERMO"
"43308","Robo","NO","PALERMO"
"43310","Robo","NO","PALERMO"
"43311","Robo","NO","PALERMO"
"43313","Robo","NO","PALERMO"
"43316","Robo","NO","PALERMO"
"43318","Robo","NO","PALERMO"
"43319","Robo","NO","PALERMO"
"43321","Robo","NO","PALERMO"
"43322","Robo","NO","PALERMO"
"43323","Robo","NO","PALERMO"
"43324","Robo","NO","PALERMO"
"43325","Robo","NO","PALERMO"
"43326","Robo","NO","PALERMO"
"43327","Robo","NO","PALERMO"
"43328","Robo","NO","PALERMO"
"43329","Robo","NO","PALERMO"
"43330","Robo","NO","PALERMO"
"43335","Robo","NO","PALERMO"
"43336","Robo","NO","PALERMO"
"43337","Robo","NO","PALERMO"
"43338","Robo","NO","PALERMO"
"43346","Robo","NO","PALERMO"
"43347","Robo","NO","PALERMO"
"43349","Robo","NO","PALERMO"
"43352","Robo","NO","PALERMO"
"43353","Robo","NO","PALERMO"
"43354","Robo","NO","PALERMO"
"43361","Robo","NO","PALERMO"
"43365","Robo","NO","PALERMO"
"43366","Robo","NO","PALERMO"
"43367","Robo","NO","PALERMO"
"43368","Robo","NO","PALERMO"
"43370","Robo","NO","PALERMO"
"43372","Robo","NO","PALERMO"
"43375","Robo","NO","PALERMO"
"43381","Robo","NO","PALERMO"
"43383","Robo","NO","PALERMO"
"43390","Robo","NO","PALERMO"
"43393","Robo","NO","PALERMO"
"43396","Robo","NO","PALERMO"
"43398","Robo","NO","PALERMO"
"43403","Robo","NO","PALERMO"
"43408","Robo","NO","PALERMO"
"43413","Robo","NO","PALERMO"
"43424","Robo","NO","PALERMO"
"43425","Robo","NO","PALERMO"
"43428","Robo","NO","PALERMO"
"43430","Robo","NO","PALERMO"
"43432","Robo","NO","PALERMO"
"43434","Robo","NO","PALERMO"
"43436","Robo","NO","PALERMO"
"43437","Robo","NO","PALERMO"
"43440","Robo","NO","PALERMO"
"43441","Robo","NO","PALERMO"
"43445","Robo","NO","PALERMO"
"43448","Robo","NO","PALERMO"
"43449","Robo","NO","PALERMO"
"43450","Robo","NO","PALERMO"
"43451","Robo","NO","PALERMO"
"43463","Robo","NO","PALERMO"
"43467","Robo","NO","PALERMO"
"43468","Robo","NO","PALERMO"
"43469","Robo","NO","PALERMO"
"43489","Robo","NO","PALERMO"
"43499","Robo","NO","PALERMO"
"43500","Robo","NO","PALERMO"
"43501","Robo","NO","PALERMO"
"43502","Robo","NO","PALERMO"
"43505","Robo","NO","PALERMO"
"43518","Robo","NO","PALERMO"
"43523","Robo","NO","PALERMO"
"43525","Robo","NO","PALERMO"
"43527","Robo","NO","PALERMO"
"43528","Robo","NO","PALERMO"
"43529","Robo","NO","PALERMO"
"43530","Robo","NO","PALERMO"
"43541","Robo","NO","PALERMO"
"43545","Robo","NO","PALERMO"
"43553","Robo","NO","PALERMO"
"43556","Robo","NO","PALERMO"
"43557","Robo","NO","PALERMO"
"43558","Robo","NO","PALERMO"
"43559","Robo","NO","PALERMO"
"44521","Robo","NO","PALERMO"
"44525","Robo","NO","PALERMO"
"44528","Robo","NO","PALERMO"
"44533","Robo","NO","PALERMO"
"44535","Robo","NO","PALERMO"
"44538","Robo","NO","PALERMO"
"44539","Robo","NO","PALERMO"
"44540","Robo","NO","PALERMO"
"44541","Robo","NO","PALERMO"
"44542","Robo","NO","PALERMO"
"44544","Robo","NO","PALERMO"
"44548","Robo","NO","PALERMO"
"44549","Robo","NO","PALERMO"
"44550","Robo","NO","PALERMO"
"44551","Robo","NO","PALERMO"
"44554","Robo","NO","PALERMO"
"44556","Robo","NO","PALERMO"
"44557","Robo","NO","PALERMO"
"44558","Robo","NO","PALERMO"
"44560","Robo","NO","PALERMO"
"44562","Robo","NO","PALERMO"
"44565","Robo","NO","PALERMO"
"44566","Robo","NO","PALERMO"
"44568","Robo","NO","PALERMO"
"44570","Robo","NO","PALERMO"
"44573","Robo","NO","PALERMO"
"44574","Robo","NO","PALERMO"
"44575","Robo","NO","PALERMO"
"44576","Robo","NO","PALERMO"
"44578","Robo","NO","PALERMO"
"44579","Robo","NO","PALERMO"
"44580","Robo","NO","PALERMO"
"44583","Robo","NO","PALERMO"
"44584","Robo","NO","PALERMO"
"44586","Robo","NO","PALERMO"
"44588","Robo","NO","PALERMO"
"44591","Robo","NO","PALERMO"
"44593","Robo","NO","PALERMO"
"44595","Robo","NO","PALERMO"
"44596","Robo","NO","PALERMO"
"44597","Robo","NO","PALERMO"
"44598","Robo","NO","PALERMO"
"44600","Robo","NO","PALERMO"
"44601","Robo","NO","PALERMO"
"44602","Robo","NO","PALERMO"
"44606","Robo","NO","PALERMO"
"44607","Robo","NO","PALERMO"
"44613","Robo","NO","PALERMO"
"44618","Robo","NO","PALERMO"
"44620","Robo","NO","PALERMO"
"44628","Robo","NO","PALERMO"
"44629","Robo","NO","PALERMO"
"44630","Robo","NO","PALERMO"
"44631","Robo","NO","PALERMO"
"44632","Robo","NO","PALERMO"
"44633","Robo","NO","PALERMO"
"44634","Robo","NO","PALERMO"
"44636","Robo","NO","PALERMO"
"44645","Robo","NO","PALERMO"
"44646","Robo","NO","PALERMO"
"44647","Robo","NO","PALERMO"
"44649","Robo","NO","PALERMO"
"44652","Robo","NO","PALERMO"
"44653","Robo","NO","PALERMO"
"44658","Robo","NO","PALERMO"
"44659","Robo","NO","PALERMO"
"44660","Robo","NO","PALERMO"
"44662","Robo","NO","PALERMO"
"44663","Robo","NO","PALERMO"
"44666","Robo","NO","PALERMO"
"44669","Robo","NO","PALERMO"
"44673","Robo","NO","PALERMO"
"44674","Robo","NO","PALERMO"
"44675","Robo","NO","PALERMO"
"44676","Robo","NO","PALERMO"
"44677","Robo","NO","PALERMO"
"44679","Robo","NO","PALERMO"
"44680","Robo","NO","PALERMO"
"44682","Robo","NO","PALERMO"
"44683","Robo","NO","PALERMO"
"44686","Robo","NO","PALERMO"
"44688","Robo","NO","PALERMO"
"44689","Robo","NO","PALERMO"
"44696","Robo","NO","PALERMO"
"44700","Robo","NO","PALERMO"
"44703","Robo","NO","PALERMO"
"44705","Robo","NO","PALERMO"
"44707","Robo","NO","PALERMO"
"44708","Robo","NO","PALERMO"
"44710","Robo","NO","PALERMO"
"44711","Robo","NO","PALERMO"
"44712","Robo","NO","PALERMO"
"44716","Robo","NO","PALERMO"
"44720","Robo","NO","PALERMO"
"44721","Robo","NO","PALERMO"
"44722","Robo","NO","PALERMO"
"44723","Robo","NO","PALERMO"
"44724","Robo","NO","PALERMO"
"44728","Robo","NO","PALERMO"
"44730","Robo","NO","PALERMO"
"44736","Robo","NO","PALERMO"
"44738","Robo","NO","PALERMO"
"44739","Robo","NO","PALERMO"
"44740","Robo","NO","PALERMO"
"44741","Robo","NO","PALERMO"
"44747","Robo","NO","PALERMO"
"44748","Robo","NO","PALERMO"
"44749","Robo","NO","PALERMO"
"44750","Robo","NO","PALERMO"
"44762","Robo","NO","PALERMO"
"44763","Robo","NO","PALERMO"
"44766","Robo","NO","PALERMO"
"44768","Robo","NO","PALERMO"
"44772","Robo","NO","PALERMO"
"44775","Robo","NO","PALERMO"
"44776","Robo","NO","PALERMO"
"44777","Robo","NO","PALERMO"
"44789","Robo","NO","PALERMO"
"44790","Robo","NO","PALERMO"
"44791","Robo","NO","PALERMO"
"44792","Robo","NO","PALERMO"
"44796","Robo","NO","PALERMO"
"44798","Robo","NO","PALERMO"
"44801","Robo","NO","PALERMO"
"44802","Robo","NO","PALERMO"
"44804","Robo","NO","PALERMO"
"44810","Robo","NO","PALERMO"
"44812","Robo","NO","PALERMO"
"44824","Robo","NO","PALERMO"
"44836","Robo","NO","PALERMO"
