"ID_SUELDO","SUELDO_NETO","ID_PUESTO_TRABAJO","FECHA"
"2619","1839200","11","2/25/2025"
"3766","1850000","11","2/25/2025"
"2131","1855250","11","2/25/2025"
"3039","1868860","11","2/25/2025"
"3379","1878740","11","2/25/2025"
"4560","1900000","11","2/25/2025"
"4060","1900000","11","2/25/2025"
"4749","1900000","11","2/25/2025"
"3870","1900000","11","2/25/2025"
"4406","1900000","11","2/25/2025"
"5319","1900000","11","2/25/2025"
"2518","1900000","11","2/25/2025"
"3651","1900000","11","2/25/2025"
"2210","1900000","11","2/25/2025"
"3115","1900000","11","2/25/2025"
"3152","1900000","11","2/25/2025"
"2594","1926605","11","2/25/2025"
"3534","1940000","11","2/25/2025"
"4235","1940000","11","2/25/2025"
"3571","1950000","11","2/25/2025"
"3213","1956498","11","2/25/2025"
"2672","1959000","11","2/25/2025"
"4959","1960000","11","2/25/2025"
"2449","1975000","11","2/25/2025"
"2268","1980000","11","2/25/2025"
"3810","2000000","11","2/25/2025"
"2928","2000000","11","2/25/2025"
"2379","2000000","11","2/25/2025"
"3928","2000000","11","2/25/2025"
"2542","2000000","11","2/25/2025"
"4838","2000000","11","2/25/2025"
"2383","2000000","11","2/25/2025"
"2905","2007000","11","2/25/2025"
"2025","2008000","11","2/25/2025"
"3736","2010000","11","2/25/2025"
"3981","2048409","11","2/25/2025"
"5161","2090000","11","2/25/2025"
"3852","2098129","11","2/25/2025"
"2104","2100000","11","2/25/2025"
"4272","2100000","11","2/25/2025"
"2206","2100000","11","2/25/2025"
"3460","2100000","11","2/25/2025"
"3625","2116500","11","2/25/2025"
"1989","2190000","11","2/25/2025"
"4781","2200000","11","2/25/2025"
"2193","2200000","11","2/25/2025"
"4705","2200000","11","2/25/2025"
"4201","2200000","11","2/25/2025"
"3884","2200000","11","2/25/2025"
"4924","2219257","11","2/25/2025"
"5037","2220000","11","2/25/2025"
"3209","2233000","11","2/25/2025"
"3609","2240000","11","2/25/2025"
"4234","2246012","11","2/25/2025"
"5317","2250000","11","2/25/2025"
"4881","2270000","11","2/25/2025"
"3824","2280000","11","2/25/2025"
"5049","2300000","11","2/25/2025"
"2315","2300000","11","2/25/2025"
"4036","2345000","11","2/25/2025"
"5269","2346000","11","2/25/2025"
"4866","2350000","11","2/25/2025"
"5156","2350000","11","2/25/2025"
"2056","2350000","11","2/25/2025"
"4052","2350000","11","2/25/2025"
"3595","2360000","11","2/25/2025"
"3122","2372337","11","2/25/2025"
"2770","2397000","11","2/25/2025"
"4324","2400000","11","2/25/2025"
"5275","2400000","11","2/25/2025"
"4947","2400000","11","2/25/2025"
"2478","2417487","11","2/25/2025"
"2120","2427113","11","2/25/2025"
"4101","2427113","11","2/25/2025"
"4160","2439000","11","2/25/2025"
"3181","2445000","11","2/25/2025"
"5295","2450000","11","2/25/2025"
"4027","2450000","11","2/25/2025"
"3016","2450000","11","2/25/2025"
"4804","2450000","11","2/25/2025"
"4813","2454541","11","2/25/2025"
"4489","2463988","11","2/25/2025"
"2307","2472677","11","2/25/2025"
