Periodo,Sector,Departamento,Cargo,Provincia,Sueldo_Min_ARS,Sueldo_Max_ARS,Sueldo_Min_USD,Sueldo_Max_USD
2024-Q3,Retail & Comercio,IT,Administrador de Redes.,NEA,2236726.8,3769296.96,2006.0330044843,3380.53539013453
2024-Q3,Retail & Comercio,IT,Administrador de Redes.,NOA,2236726.8,3769296.96,2006.0330044843,3380.53539013453
2024-Q3,Retail & Comercio,IT,Administrador de Redes.,Patagonia,2541735,4283292,2279.58295964126,3841.51748878924
2024-Q3,Servicios,IT,Administrador de Redes.,Buenos Aires,2541735,4283292,2279.58295964126,3841.51748878924
2024-Q3,Servicios,IT,Administrador de Redes.,Cuyo,2338396.2,3940628.64,2097.21632286996,3534.1960896861
2024-Q3,Servicios,IT,Administrador de Redes.,Litoral,2338396.2,3940628.64,2097.21632286996,3534.1960896861
2024-Q3,Servicios,IT,Administrador de Redes.,NEA,2236726.8,3769296.96,2006.0330044843,3380.53539013453
2024-Q3,Servicios,IT,Administrador de Redes.,NOA,2236726.8,3769296.96,2006.0330044843,3380.53539013453
2024-Q3,Servicios,IT,Administrador de Redes.,Patagonia,2541735,4283292,2279.58295964126,3841.51748878924
2024-Q3,Transporte y logística,IT,Administrador de Redes.,Buenos Aires,2541735,4283292,2279.58295964126,3841.51748878924
2024-Q3,Transporte y logística,IT,Administrador de Redes.,Cuyo,2338396.2,3940628.64,2097.21632286996,3534.1960896861
2024-Q3,Transporte y logística,IT,Administrador de Redes.,Litoral,2338396.2,3940628.64,2097.21632286996,3534.1960896861
2024-Q3,Transporte y logística,IT,Administrador de Redes.,NEA,2236726.8,3769296.96,2006.0330044843,3380.53539013453
2024-Q3,Transporte y logística,IT,Administrador de Redes.,NOA,2236726.8,3769296.96,2006.0330044843,3380.53539013453
2024-Q3,Transporte y logística,IT,Administrador de Redes.,Patagonia,2541735,4283292,2279.58295964126,3841.51748878924
2024-Q3,Automotriz,IT,Analista BI,Buenos Aires,3541319,6120798,3176.07085201794,5489.50493273543
2024-Q3,Automotriz,IT,Analista BI,Cuyo,3258013.48,5631134.16,2921.9851838565,5050.34453811659
2024-Q3,Automotriz,IT,Analista BI,Litoral,3258013.48,5631134.16,2921.9851838565,5050.34453811659
2024-Q3,Automotriz,IT,Analista BI,NEA,3116360.72,5386302.24,2794.94234977578,4830.76434080718
2024-Q3,Automotriz,IT,Analista BI,NOA,3116360.72,5386302.24,2794.94234977578,4830.76434080718
2024-Q3,Automotriz,IT,Analista BI,Patagonia,3541319,6120798,3176.07085201794,5489.50493273543
2024-Q3,Banca & Serv Financieros,IT,Analista BI,Buenos Aires,3851180,5246398,3453.9730941704,4705.28968609865
2024-Q3,Banca & Serv Financieros,IT,Analista BI,Cuyo,3543085.6,4826686.16,3177.65524663677,4328.86651121076
2024-Q3,Banca & Serv Financieros,IT,Analista BI,Litoral,3543085.6,4826686.16,3177.65524663677,4328.86651121076
2024-Q3,Banca & Serv Financieros,IT,Analista BI,NEA,3389038.4,4616830.24,3039.49632286996,4140.65492376682
2024-Q3,Banca & Serv Financieros,IT,Analista BI,NOA,3389038.4,4616830.24,3039.49632286996,4140.65492376682
2024-Q3,Banca & Serv Financieros,IT,Analista BI,Patagonia,3851180,5246398,3453.9730941704,4705.28968609865
2024-Q3,Consumo masivo,IT,Analista BI,Buenos Aires,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Consumo masivo,IT,Analista BI,Cuyo,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Consumo masivo,IT,Analista BI,Litoral,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Consumo masivo,IT,Analista BI,NEA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Consumo masivo,IT,Analista BI,NOA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Consumo masivo,IT,Analista BI,Patagonia,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Energía y Petróleo,IT,Analista BI,Buenos Aires,3851180,5246398,3453.9730941704,4705.28968609865
2024-Q3,Energía y Petróleo,IT,Analista BI,Cuyo,3543085.6,4826686.16,3177.65524663677,4328.86651121076
2024-Q3,Energía y Petróleo,IT,Analista BI,Litoral,3543085.6,4826686.16,3177.65524663677,4328.86651121076
2024-Q3,Energía y Petróleo,IT,Analista BI,NEA,3389038.4,4616830.24,3039.49632286996,4140.65492376682
2024-Q3,Energía y Petróleo,IT,Analista BI,NOA,3389038.4,4616830.24,3039.49632286996,4140.65492376682
2024-Q3,Energía y Petróleo,IT,Analista BI,Patagonia,3851180,5246398,3453.9730941704,4705.28968609865
2024-Q3,IT,IT,Analista BI,Buenos Aires,4621416,5541507,4144.76771300448,4969.96143497758
2024-Q3,IT,IT,Analista BI,Cuyo,4251702.72,5098186.44,3813.18629596413,4572.36452017937
2024-Q3,IT,IT,Analista BI,Litoral,4251702.72,5098186.44,3813.18629596413,4572.36452017937
2024-Q3,IT,IT,Analista BI,NEA,4066846.08,4876526.16,3647.39558744395,4373.56606278027
2024-Q3,IT,IT,Analista BI,NOA,4066846.08,4876526.16,3647.39558744395,4373.56606278027
2024-Q3,IT,IT,Analista BI,Patagonia,4621416,5541507,4144.76771300448,4969.96143497758
2024-Q3,Lab & Pharma,IT,Analista BI,Buenos Aires,4621416,5541507,4144.76771300448,4969.96143497758
2024-Q3,Lab & Pharma,IT,Analista BI,Cuyo,4251702.72,5098186.44,3813.18629596413,4572.36452017937
